story	url	8cl.undir	8cl.dir	5cl.undir	5cl.dir	2cl.undir	2cl.dir	type	text
1	https://archiveofourown.org/works/6431401	5	13	4	9	1	2	relation	right , so he most likely won't be more than just a bit pissed off ? " Simon sighed . He loved Clary , he really did , but sometimes he wondered how much easier his life'd be if he'd never been friends with her . Which was a treacherous thing to even casually think about , but he couldn't help it . Instead of calling up nearly comatose vampires , he could've been playing on his PlayStation . " I - okay . I can try . But I can't promise he'll wake up , much less willingly help TARG-Clary-TARG guys if EXP-Raphael-EXP does . " Which was understatement of the year , because unless it had to do with Simon's well being , Raphael was the least helpful person he knew . Kind of sweet , really . Simon shook his head . Time and place . He fished his phone out of his pocket , dialing Raphael's number as the Shadowhunters watched him . Simon frowned . " Why can't you have Alec call his boyfriend , by the way ? I'm sure Magnus knows a lot of things , too , " he asked as he waited for Raphael to
1	https://archiveofourown.org/works/6431401	0	8	0	5	1	2	relation	part . " Simon was skeptical . And tired . He missed caffeine . It wasn't as though they really needed Raphael for anything either , in Simon's opinion . They could've simply looked the information up from books , or even the internet as he had suggested . But as it was , apparently Raphael had some important , secret knowledge that was vital for the success of their mission , and therefore Simon had been called in to be a negotiator . Which , in this case , translated into ' call Raphael and get him here , TARG-Simon-TARG, you're the only one of EXP-Jace-EXP who has his number ' . This was the part where Simon begun to shake his head in protest . " Listen , guys , " he started . " I don't think you realize what kind of schedules vampires keep . " Everyone present - Clary , Jace , Izzy and Alec - looked at him with confusion . " What do you mean ? " Jace asked , frowning more than usual . Simon gulped . " I mean , it's , what , three o'clock ? Raphael's sleeping . " Or at least had been when Simon
1	https://archiveofourown.org/works/6431401	5	5	4	4	1	1	relation	pieces , as he slid down lower on the couch . " You didn't have to be so straight forward about it , " he mumbled . Raphael smiled smugly . " Wait , " said Clary . " You two are . . . " Simon deemed the situation already catastrophic enough for it to be able to get worse . " Yeah , " he confirmed Clary's unfinished question . " Involved , dating , seeing each other , in love , the whole bunch . " He paused . " Well , no , you told me EXP-Raphael-EXP loved TARG-Simon-TARG " Simon continued and poked Raphael in the chest to emphasize who he was talking about . " I never returned the sentiment . Yet . " Raphael gave him an unimpressed look . " Are you planning on returning it , then ? " He asked , his eyes softening . Simon shrugged . " Sure . I love you too . " Izzy looked at them both with amazement . " That , " she said , " was officially the lamest love confession I've ever heard . " Simon huffed . " What , would you have
1	https://archiveofourown.org/works/6431401	0	0	0	0	1	1	relation	Simon was starting to slowly understand just why other Downworlders disliked Shadowhunters so much . He didn't really see how Clary had thought it would be a good idea to wake Simon up at two in the afternoon ( night , for him ) , make him walk all the way over to the Institute , and then tell him he could've just walked ten meters over to Raphael's room since EXP-Alec-EXP didn't actually need him, just TARG-Raphael-TARG Well , actually , he could've just rolled over and elbowed Raphael in his side , but that was beside the point . No one knew that Simon was spending his days sleeping next to the recently crowned clan leader , anyway . Clary defended herself by saying she missed seeing Simon , and besides , their mission was " intriguing , so I thought you might want to take part . " Simon was skeptical . And tired . He missed caffeine . It wasn't as though they really needed Raphael for anything either , in Simon's opinion .
1	https://archiveofourown.org/works/6431401	6	14	4	9	1	2	relation	- looked at him with confusion . " What do you mean ? " Jace asked , frowning more than usual . Simon gulped . " I mean , it's , what , three o'clock ? Raphael's sleeping . " Or at least had been when Simon had sneaked out of the bed . " Or , you know , probably is . I wouldn't know , personally , but it's an educated guess . " Izzy looked at him with raised brows . Simon was seriously starting to think that his rambling was becoming a problem . Fortunately , TARG-Clary-TARG saved EXP-Simon-EXP from further embarrassment . " But can't you try calling him , anyway ? He sort of likes you , right , so he most likely won't be more than just a bit pissed off ? " Simon sighed . He loved Clary , he really did , but sometimes he wondered how much easier his life'd be if he'd never been friends with her . Which was a treacherous thing to even casually think about , but he couldn't help it . Instead of calling up nearly comatose vampires , he could've been playing on his PlayStation . "
1	https://archiveofourown.org/works/6431401	5	5	4	4	1	1	relation	emphasize who he was talking about . " I never returned the sentiment . Yet . " Raphael gave him an unimpressed look . " Are you planning on returning it , then ? " He asked , his eyes softening . Simon shrugged . " Sure . I love you too . " Izzy looked at them both with amazement . " That , " she said , " was officially the lamest love confession I've ever heard . " Simon huffed . " What , would you have wanted me to tell you about all the specific things EXP-Simon-EXP love about TARG-Raphael-TARG Because I'm doing that later . In private . Not while we're having a moment in front of you people . " Jace looked vaguely disgusted . " Didn't need to hear that . " Clary , who seemed to be taking the news in a stride , sat down on the chair next to Jace with a cup of tea . " Right , well , now that that's settled , " she said . " We did actually need you for something . " Raphael rolled his eyes . Simon found it endearing . Simon realized how very
1	https://archiveofourown.org/works/6431401	0	0	0	0	1	1	relation	. Instead of calling up nearly comatose vampires , he could've been playing on his PlayStation . " I - okay . I can try . But I can't promise he'll wake up , much less willingly help you guys if he does . " Which was understatement of the year , because unless it had to do with Simon's well being , Raphael was the least helpful person he knew . Kind of sweet , really . Simon shook his head . Time and place . He fished his phone out of his pocket , dialing Raphael's number as EXP-Jace-EXP watched TARG-Simon-TARG Simon frowned . " Why can't you have Alec call his boyfriend , by the way ? I'm sure Magnus knows a lot of things , too , " he asked as he waited for Raphael to pick up . Alec blushed crimson red . " He's not my - " he started to say , at the same time as Isabelle said , " We need specific vampire related knowledge . " Simon nodded slowly , taking sympathy in Alec who was now awkwardly shuffling his feet and adamantly staring at the floor . The line clicked , finally
1	https://archiveofourown.org/works/6431401	6	6	4	4	1	1	relation	Simon was starting to slowly understand just why other Downworlders disliked Shadowhunters so much . He didn't really see how EXP-Clary-EXP had thought it would be a good idea to wake TARG-Simon-TARG up at two in the afternoon ( night , for him ) , make him walk all the way over to the Institute , and then tell him he could've just walked ten meters over to Raphael's room since they didn't actually need him , just Raphael . Well , actually , he could've just rolled over and elbowed Raphael in his side , but that was beside the point . No one knew that Simon was spending his days sleeping next to the recently crowned clan leader , anyway . Clary defended herself by saying she missed seeing Simon
1	https://archiveofourown.org/works/6431401	1	1	1	1	0	0	relation	sheets as Raphael , presumably , sat up . " What is it ? Are you alright ? " Simon would've been touched by his concern , had this been literally any other time ever . " No , I'm fine , " he reassured him , and watched as Jace snorted . Fucking Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " EXP-Simon-EXP smiled nervously, even though TARG-Raphael-TARG couldn't see him . " That'd be it , " he said and , to his credit , tried to sound apologetic . There was inaudible mumbling and a muffled crash , followed by a string of Spanish swear words . " What was that ? " Simon asked , concerned . " Are you - did something break ? " Silence . " No , " Raphael said , sounding more awake than a few seconds ago . " I just . Well . I might've dropped something , but it's not important . Listen , tell those friends
1	https://archiveofourown.org/works/6431401	4	4	0	0	1	1	relation	said . Simon simultaneously admired him and feared for Jace's life for calling a seventy-something year old vampire dude . Raphael seemed too tired to care , however . " Simon called , I am here . Now what could you possibly need from me ? " He asked , throwing one arm over Simon's shoulder and pulling him closer . Simon froze . " Um , " he turned to whisper directly into Raphael's ear . " I've mentioned this before , but they still don't know . About us . Jace probably thinks you hate me . " EXP-Raphael-EXP seemed taken aback. "Dios mio, TARG-Simon-TARG still haven't said a word ? " Jace looked impatient . " What's the matter ? " Alec , seemingly sensing the impending awkwardness , quietly slipped away from the room . " Nothing's the matter , Nephilim , " Raphael said . " I just thought Simon would have told you all about our relationship already . " Simon wanted the Earth to swallow him whole , or optionally for him to combust into pieces , as he slid down lower on the couch . " You didn't have to be so straight forward about it , " he
1	https://archiveofourown.org/works/6431401	5	13	4	9	1	2	relation	right , so he most likely won't be more than just a bit pissed off ? " Simon sighed . He loved Clary , he really did , but sometimes he wondered how much easier his life'd be if he'd never been friends with her . Which was a treacherous thing to even casually think about , but he couldn't help it . Instead of calling up nearly comatose vampires , he could've been playing on his PlayStation . " I - okay . I can try . But I can't promise he'll wake up , much less willingly help TARG-Alec-TARG guys if EXP-Raphael-EXP does . " Which was understatement of the year , because unless it had to do with Simon's well being , Raphael was the least helpful person he knew . Kind of sweet , really . Simon shook his head . Time and place . He fished his phone out of his pocket , dialing Raphael's number as the Shadowhunters watched him . Simon frowned . " Why can't you have Alec call his boyfriend , by the way ? I'm sure Magnus knows a lot of things , too , " he asked as he waited for Raphael to
1	https://archiveofourown.org/works/6431401	0	8	0	5	1	2	relation	. " Involved , dating , seeing each other , in love , the whole bunch . " He paused . " Well , no , you told me you loved me , " Simon continued and poked Raphael in the chest to emphasize who he was talking about . " I never returned the sentiment . Yet . " Raphael gave him an unimpressed look . " Are you planning on returning it , then ? " He asked , his eyes softening . Simon shrugged . " Sure . I love you too . " Izzy looked at TARG-Raphael-TARG both with amazement. "That," she said, "was officially the lamest love confession EXP-Izzy-EXP ever heard . " Simon huffed . " What , would you have wanted me to tell you about all the specific things I love about him ? Because I'm doing that later . In private . Not while we're having a moment in front of you people . " Jace looked vaguely disgusted . " Didn't need to hear that . " Clary , who seemed to be taking the news in a stride , sat down on the chair next to Jace with a cup of tea . " Right , well , now that that's settled ,
1	https://archiveofourown.org/works/6431401	6	6	4	4	1	1	relation	. " Clary , who seemed to be taking the news in a stride , sat down on the chair next to Jace with a cup of tea . " Right , well , now that that's settled , " she said . " We did actually need you for something . " Raphael rolled his eyes . Simon found it endearing . Simon realized how very , truly fucked he was . But he didn't mind all that much , really . Later , Simon found out that the crash he had heard before had been the alarm clock EXP-Simon-EXP had bought as a joke, which had been thrown against the wall. He didn't dare to wake TARG-Raphael-TARG too early up after that .
1	https://archiveofourown.org/works/6431401	6	14	4	9	1	2	relation	lied brightly . Admittedly his Spanish was rusty , but he was pretty sure Raphael just told him he loved him . This came as a less of a shock to Simon as he would've thought . " Right , " Jace said , interrupting Simon's thoughts . " So now we just wait , right ? " " Yep , " said Clary , standing up . " Anyone want any coffee or tea ? " It took Raphael half an hour to show up , and Simon strongly suspected that was only because he'd spent fifteen minutes doing TARG-Raphael-TARG hair and eyebrows, and the next ten deciding on what to wear. Which paid off, needless to say. EXP-Simon-EXP felt under dressed in his Star Trek shirt as Raphael sat down next to him on the couch , wearing a ridiculously expensive looking dark blue shirt with a black waistcoat . Jace looked at him up and down . " You didn't need to dress up , dude , " he said . Simon simultaneously admired him and feared for Jace's life for calling a seventy-something year old vampire dude . Raphael seemed too tired to care , however . " Simon called , I am here . Now what could you possibly need from me ? " He
1	https://archiveofourown.org/works/6431401	3	11	3	8	0	3	relation	would've been even darker red than Alec right now . " Um , " he tried , painfully aware of his friends still watching him , " Something came up . I sort of need a favor . " He could hear the ruffling of the sheets as Raphael , presumably , sat up . " What is it ? Are you alright ? " Simon would've been touched by his concern , had this been literally any other time ever . " No , I'm fine , " he reassured him , and watched as Jace snorted . Fucking TARG-Jace-TARG. "It's just that, EXP-Simon-EXP at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously , even though Raphael couldn't see him . " That'd be it , " he said and , to his credit , tried to sound apologetic . There was inaudible mumbling and a muffled crash , followed by a string of Spanish swear words . " What was that ? " Simon asked , concerned . " Are you
1	https://archiveofourown.org/works/6431401	7	7	3	3	0	0	relation	, dude , " he said . Simon simultaneously admired him and feared for Jace's life for calling a seventy-something year old vampire dude . Raphael seemed too tired to care , however . " Simon called , I am here . Now what could you possibly need from me ? " He asked , throwing one arm over Simon's shoulder and pulling him closer . Simon froze . " Um , " he turned to whisper directly into Raphael's ear . " I've mentioned this before , but they still don't know . About us . Jace probably thinks EXP-Raphael-EXP hate TARG-Simon-TARG " Raphael seemed taken aback . " Dios mio , you still haven't said a word ? " Jace looked impatient . " What's the matter ? " Alec , seemingly sensing the impending awkwardness , quietly slipped away from the room . " Nothing's the matter , Nephilim , " Raphael said . " I just thought Simon would have told you all about our relationship already . " Simon wanted the Earth to swallow him whole , or optionally for him to combust into pieces , as he slid down lower on the couch . " You didn't
1	https://archiveofourown.org/works/6431401	0	0	0	0	1	1	relation	who was now awkwardly shuffling his feet and adamantly staring at the floor . The line clicked , finally , and Simon was honestly surprised Raphael even bothered to answer . " Hey , " he said . " Why aren't you in my bed ? " Raphael asked in a husky voice . Simon thanked every deity in the world that he couldn't blush , because otherwise he would've been even darker red than Alec right now . " Um , " he tried , painfully aware of his friends still watching him , " Something came up . EXP-Simon-EXP of need a favor." He could hear the ruffling of the sheets as TARG-Raphael-TARG presumably , sat up . " What is it ? Are you alright ? " Simon would've been touched by his concern , had this been literally any other time ever . " No , I'm fine , " he reassured him , and watched as Jace snorted . Fucking Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously ,
1	https://archiveofourown.org/works/6431401	1	1	1	1	0	0	relation	Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously , even though Raphael couldn't see him . " That'd be it , " he said and , to his credit , tried to sound apologetic . There was inaudible mumbling and a muffled crash , followed by a string of Spanish swear words . " What was that ? " EXP-Simon-EXP asked, concerned. "Are TARG-Raphael-TARG did something break ? " Silence . " No , " Raphael said , sounding more awake than a few seconds ago . " I just . Well . I might've dropped something , but it's not important . Listen , tell those friends of yours I'll be there , but this is the last time I'm doing anything for those ungrateful bastards , and only because you asked , alright ? Te amo . " Raphael hung up , leaving Simon to stare at his phone for a long while with a confused expression . " Well ? "
1	https://archiveofourown.org/works/6431401	0	8	0	5	1	2	relation	knew that Simon was spending his days sleeping next to the recently crowned clan leader , anyway . Clary defended herself by saying she missed seeing Simon , and besides , their mission was " intriguing , so I thought you might want to take part . " Simon was skeptical . And tired . He missed caffeine . It wasn't as though they really needed Raphael for anything either , in Simon's opinion . They could've simply looked the information up from books , or even the internet as he had suggested . But as it was , apparently TARG-Raphael-TARG had some important, secret knowledge that was vital for the success of EXP-Clary-EXP mission , and therefore Simon had been called in to be a negotiator . Which , in this case , translated into ' call Raphael and get him here , Simon , you're the only one of us who has his number ' . This was the part where Simon begun to shake his head in protest . " Listen , guys , " he started . " I don't think you realize what kind of schedules vampires keep . " Everyone present - Clary , Jace , Izzy and Alec - looked at him with confusion . " What
1	https://archiveofourown.org/works/6431401	7	15	3	8	0	3	relation	. " I never returned the sentiment . Yet . " Raphael gave him an unimpressed look . " Are you planning on returning it , then ? " He asked , his eyes softening . Simon shrugged . " Sure . I love you too . " Izzy looked at them both with amazement . " That , " she said , " was officially the lamest love confession I've ever heard . " Simon huffed . " What , would you have wanted me to tell you about all the specific things I love about him ? Because TARG-Simon-TARG doing that later. In private. Not while we're having a moment in front of you people." EXP-Jace-EXP looked vaguely disgusted . " Didn't need to hear that . " Clary , who seemed to be taking the news in a stride , sat down on the chair next to Jace with a cup of tea . " Right , well , now that that's settled , " she said . " We did actually need you for something . " Raphael rolled his eyes . Simon found it endearing . Simon realized how very , truly fucked he was . But he didn't mind all that much , really . Later , Simon found out that the
1	https://archiveofourown.org/works/6431401	1	9	1	6	0	3	relation	over Simon's shoulder and pulling him closer . Simon froze . " Um , " he turned to whisper directly into Raphael's ear . " I've mentioned this before , but they still don't know . About us . Jace probably thinks you hate me . " Raphael seemed taken aback . " Dios mio , you still haven't said a word ? " Jace looked impatient . " What's the matter ? " Alec , seemingly sensing the impending awkwardness , quietly slipped away from the room . " Nothing's the matter , Nephilim , " Raphael said . TARG-Raphael-TARG just thought Simon would have told you all about our relationship already." EXP-Simon-EXP wanted the Earth to swallow him whole , or optionally for him to combust into pieces , as he slid down lower on the couch . " You didn't have to be so straight forward about it , " he mumbled . Raphael smiled smugly . " Wait , " said Clary . " You two are . . . " Simon deemed the situation already catastrophic enough for it to be able to get worse . " Yeah , " he confirmed Clary's unfinished question . " Involved , dating , seeing each other , in love , the
1	https://archiveofourown.org/works/6431401	4	4	0	0	1	1	relation	Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously , even though Raphael couldn't see him . " That'd be it , " he said and , to his credit , tried to sound apologetic . There was inaudible mumbling and a muffled crash , followed by a string of Spanish swear words . " What was that ? " EXP-Simon-EXP asked, concerned. "Are TARG-Raphael-TARG did something break ? " Silence . " No , " Raphael said , sounding more awake than a few seconds ago . " I just . Well . I might've dropped something , but it's not important . Listen , tell those friends of yours I'll be there , but this is the last time I'm doing anything for those ungrateful bastards , and only because you asked , alright ? Te amo . " Raphael hung up , leaving Simon to stare at his phone for a long while with a confused expression . " Well ? "
1	https://archiveofourown.org/works/6431401	0	0	0	0	1	1	relation	Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously , even though Raphael couldn't see him . " That'd be it , " he said and , to his credit , tried to sound apologetic . There was inaudible mumbling and a muffled crash , followed by a string of Spanish swear words . " What was that ? " EXP-Simon-EXP asked, concerned. "Are TARG-Raphael-TARG did something break ? " Silence . " No , " Raphael said , sounding more awake than a few seconds ago . " I just . Well . I might've dropped something , but it's not important . Listen , tell those friends of yours I'll be there , but this is the last time I'm doing anything for those ungrateful bastards , and only because you asked , alright ? Te amo . " Raphael hung up , leaving Simon to stare at his phone for a long while with a confused expression . " Well ? "
1	https://archiveofourown.org/works/6431401	1	9	1	6	0	3	relation	" he said . " Why aren't you in my bed ? " Raphael asked in a husky voice . Simon thanked every deity in the world that he couldn't blush , because otherwise he would've been even darker red than Alec right now . " Um , " he tried , painfully aware of his friends still watching him , " Something came up . I sort of need a favor . " He could hear the ruffling of the sheets as Raphael , presumably , sat up . " What is it ? Are you alright ? " TARG-Simon-TARG would've been touched by EXP-Raphael-EXP concern , had this been literally any other time ever . " No , I'm fine , " he reassured him , and watched as Jace snorted . Fucking Jace . " It's just that , I'm at the Institute . " There was a pause at the other end of the line . Then , " Let me guess , " Raphael muttered darkly . " The Nephilims need me for something . " Simon smiled nervously , even though Raphael couldn't see him . " That'd be it , " he said and , to his credit ,
1	https://archiveofourown.org/works/6431401	0	0	0	0	1	1	relation	leader , anyway . Clary defended herself by saying she missed seeing Simon , and besides , their mission was " intriguing , so I thought you might want to take part . " Simon was skeptical . And tired . He missed caffeine . It wasn't as though they really needed Raphael for anything either , in Simon's opinion . They could've simply looked the information up from books , or even the internet as he had suggested . But as it was , apparently Raphael had some important , secret knowledge that was vital for the success of EXP-Clary-EXP mission, and therefore TARG-Simon-TARG had been called in to be a negotiator . Which , in this case , translated into ' call Raphael and get him here , Simon , you're the only one of us who has his number ' . This was the part where Simon begun to shake his head in protest . " Listen , guys , " he started . " I don't think you realize what kind of schedules vampires keep . " Everyone present - Clary , Jace , Izzy and Alec - looked at him with confusion . " What do you mean ? "
1	https://archiveofourown.org/works/6431401	4	4	0	0	1	1	relation	had some important , secret knowledge that was vital for the success of their mission , and therefore Simon had been called in to be a negotiator . Which , in this case , translated into ' call Raphael and get him here , Simon , you're the only one of us who has his number ' . This was the part where Simon begun to shake his head in protest . " Listen , guys , " he started . " I don't think you realize what kind of schedules vampires keep . " Everyone present - Clary , EXP-Jace-EXP, Izzy and Alec - looked at TARG-Simon-TARG with confusion . " What do you mean ? " Jace asked , frowning more than usual . Simon gulped . " I mean , it's , what , three o'clock ? Raphael's sleeping . " Or at least had been when Simon had sneaked out of the bed . " Or , you know , probably is . I wouldn't know , personally , but it's an educated guess . " Izzy looked at him with raised brows . Simon was seriously starting to think that his rambling was becoming a problem . Fortunately , Clary saved him from
